Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z,Agent2_x,Agent2_y,Agent2_z,Agent3_x,Agent3_y,Agent3_z,Agent4_x,Agent4_y,Agent4_z,Agent5_x,Agent5_y,Agent5_z,Agent6_x,Agent6_y,Agent6_z,Agent7_x,Agent7_y,Agent7_z
54.8,25.0,0,-4.8,25.0,0,46.07178207935912,46.07178207935912,0,3.928217920640883,3.928217920640883,0,25.000000000000004,54.8,0,24.999999999999996,-4.8,0,3.9282179206408867,46.07178207935912,0,46.07178207935912,3.928217920640883,0
54.599999999999994,25.0,0,-4.6,25.0,0,45.93036072312181,45.93036072312181,0,4.069639276878193,4.069639276878193,0,25.000000000000004,54.599999999999994,0,24.999999999999996,-4.6,0,4.069639276878196,45.93036072312181,0,45.93036072312181,4.069639276878193,0
54.39999999999999,25.0,0,-4.3999999999999995,25.0,0,45.7889393668845,45.7889393668845,0,4.211060633115502,4.211060633115502,0,25.000000000000004,54.39999999999999,0,24.999999999999996,-4.3999999999999995,0,4.211060633115506,45.7889393668845,0,45.7889393668845,4.211060633115502,0
54.19999999999999,25.0,0,-4.199999999999999,25.0,0,45.64751801064719,45.64751801064719,0,4.352481989352811,4.352481989352811,0,25.000000000000004,54.19999999999999,0,24.999999999999996,-4.199999999999999,0,4.352481989352815,45.64751801064719,0,45.64751801064719,4.352481989352811,0
53.999999999999986,25.0,0,-3.999999999999999,25.0,0,45.50609665440988,45.50609665440988,0,4.4939033455901205,4.4939033455901205,0,25.000000000000004,53.999999999999986,0,24.999999999999996,-3.999999999999999,0,4.493903345590124,45.50609665440988,0,45.50609665440988,4.4939033455901205,0
53.79999999999998,25.0,0,-3.799999999999999,25.0,0,45.36467529817257,45.36467529817257,0,4.63532470182743,4.63532470182743,0,25.000000000000004,53.79999999999998,0,24.999999999999996,-3.799999999999999,0,4.635324701827433,45.36467529817257,0,45.36467529817257,4.63532470182743,0
53.59999999999998,25.0,0,-3.5999999999999988,25.0,0,45.22325394193526,45.22325394193526,0,4.776746058064739,4.776746058064739,0,25.000000000000004,53.59999999999998,0,24.999999999999996,-3.5999999999999988,0,4.7767460580647425,45.22325394193526,0,45.22325394193526,4.776746058064739,0
53.39999999999998,25.0,0,-3.3999999999999986,25.0,0,45.08183258569795,45.08183258569795,0,4.918167414302048,4.918167414302048,0,25.000000000000004,53.39999999999998,0,24.999999999999996,-3.3999999999999986,0,4.918167414302052,45.08183258569795,0,45.08183258569795,4.918167414302048,0
53.199999999999974,25.0,0,-3.1999999999999984,25.0,0,44.94041122946064,44.94041122946064,0,5.059588770539357,5.059588770539357,0,25.000000000000004,53.199999999999974,0,24.999999999999996,-3.1999999999999984,0,5.059588770539361,44.94041122946064,0,44.94041122946064,5.059588770539357,0
52.99999999999997,25.0,0,-2.9999999999999982,25.0,0,44.798989873223334,44.798989873223334,0,5.201010126776667,5.201010126776667,0,25.000000000000004,52.99999999999997,0,24.999999999999996,-2.9999999999999982,0,5.20101012677667,44.798989873223334,0,44.798989873223334,5.201010126776667,0
52.79999999999997,25.0,0,-2.799999999999998,25.0,0,44.657568516986025,44.657568516986025,0,5.342431483013976,5.342431483013976,0,25.000000000000004,52.79999999999997,0,24.999999999999996,-2.799999999999998,0,5.342431483013979,44.657568516986025,0,44.657568516986025,5.342431483013976,0
52.599999999999966,25.0,0,-2.599999999999998,25.0,0,44.516147160748716,44.516147160748716,0,5.483852839251285,5.483852839251285,0,25.000000000000004,52.599999999999966,0,24.999999999999996,-2.599999999999998,0,5.483852839251289,44.516147160748716,0,44.516147160748716,5.483852839251285,0
52.39999999999996,25.0,0,-2.3999999999999977,25.0,0,44.37472580451141,44.37472580451141,0,5.625274195488594,5.625274195488594,0,25.000000000000004,52.39999999999996,0,24.999999999999996,-2.3999999999999977,0,5.625274195488598,44.37472580451141,0,44.37472580451141,5.625274195488594,0
52.19999999999996,25.0,0,-2.1999999999999975,25.0,0,44.2333044482741,44.2333044482741,0,5.7666955517259035,5.7666955517259035,0,25.000000000000004,52.19999999999996,0,24.999999999999996,-2.1999999999999975,0,5.766695551725907,44.2333044482741,0,44.2333044482741,5.7666955517259035,0
51.99999999999996,25.0,0,-1.9999999999999976,25.0,0,44.09188309203679,44.09188309203679,0,5.908116907963213,5.908116907963213,0,25.000000000000004,51.99999999999996,0,24.999999999999996,-1.9999999999999976,0,5.908116907963216,44.09188309203679,0,44.09188309203679,5.908116907963213,0
51.799999999999955,25.0,0,-1.7999999999999976,25.0,0,43.95046173579948,43.95046173579948,0,6.049538264200522,6.049538264200522,0,25.000000000000004,51.799999999999955,0,24.999999999999996,-1.7999999999999976,0,6.0495382642005255,43.95046173579948,0,43.95046173579948,6.049538264200522,0
