Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z
54.8,25.0,25.0,-4.8,25.0,25.0
54.599999999999994,25.0,25.0,-4.6,25.0,25.0
54.39999999999999,25.0,25.0,-4.3999999999999995,25.0,25.0
54.19999999999999,25.0,25.0,-4.199999999999999,25.0,25.0
53.999999999999986,25.0,25.0,-3.999999999999999,25.0,25.0
53.79999999999998,25.0,25.0,-3.799999999999999,25.0,25.0
53.59999999999998,25.0,25.0,-3.5999999999999988,25.0,25.0
53.39999999999998,25.0,25.0,-3.3999999999999986,25.0,25.0
53.199999999999974,25.0,25.0,-3.1999999999999984,25.0,25.0
52.99999999999997,25.0,25.0,-2.9999999999999982,25.0,25.0
52.79999999999997,25.0,25.0,-2.799999999999998,25.0,25.0
52.599999999999966,25.0,25.0,-2.599999999999998,25.0,25.0
52.39999999999996,25.0,25.0,-2.3999999999999977,25.0,25.0
52.19999999999996,25.0,25.0,-2.1999999999999975,25.0,25.0
51.99999999999996,25.0,25.0,-1.9999999999999976,25.0,25.0
51.799999999999955,25.0,25.0,-1.7999999999999976,25.0,25.0
51.59999999999995,25.0,25.0,-1.5999999999999976,25.0,25.0
51.39999999999995,25.0,25.0,-1.3999999999999977,25.0,25.0
51.199999999999946,25.0,25.0,-1.1999999999999977,25.0,25.0
50.99999999999994,25.0,25.0,-0.9999999999999978,25.0,25.0
50.79999999999994,25.0,25.0,-0.7999999999999978,25.0,25.0
50.59999999999994,25.0,25.0,-0.5999999999999979,25.0,25.0
50.399999999999935,25.0,25.0,-0.39999999999999786,25.0,25.0
50.19999999999993,25.0,25.0,-0.19999999999999785,25.0,25.0
49.99999999999993,25.0,25.0,2.1649348980190553e-15,25.0,25.0
49.799999999999926,25.0,25.0,0.20000000000000218,25.0,25.0
49.59999999999992,25.0,25.0,0.4000000000000022,25.0,25.0
49.39999999999992,25.0,25.0,0.6000000000000022,25.0,25.0
49.19999999999992,25.0,25.0,0.8000000000000023,25.0,25.0
48.999999999999915,25.0,25.0,1.0000000000000022,25.0,25.0
48.79999999999991,25.0,25.0,1.2000000000000022,25.0,25.0
48.59999999999991,25.0,25.0,1.4000000000000021,25.0,25.0
48.399999999999906,25.0,25.0,1.600000000000002,25.0,25.0
48.1999999999999,25.0,25.0,1.800000000000002,25.0,25.0
47.9999999999999,25.0,25.0,2.000000000000002,25.0,25.0
47.7999999999999,25.0,25.0,2.2000000000000024,25.0,25.0
47.599999999999895,25.0,25.0,2.4000000000000026,25.0,25.0
47.39999999999989,25.0,25.0,2.6000000000000028,25.0,25.0
47.19999999999989,25.0,25.0,2.800000000000003,25.0,25.0
46.999999999999886,25.0,25.0,3.000000000000003,25.0,25.0
46.79999999999988,25.0,25.0,3.2000000000000033,25.0,25.0
46.59999999999988,25.0,25.0,3.4000000000000035,25.0,25.0
46.39999999999988,25.0,25.0,3.6000000000000036,25.0,25.0
46.199999999999875,25.0,25.0,3.800000000000004,25.0,25.0
45.99999999999987,25.0,25.0,4.0000000000000036,25.0,25.0
45.79999999999987,25.0,25.0,4.200000000000004,25.0,25.0
45.599999999999866,25.0,25.0,4.400000000000004,25.0,25.0
45.399999999999864,25.0,25.0,4.600000000000004,25.0,25.0
45.19999999999986,25.0,25.0,4.800000000000004,25.0,25.0
44.99999999999986,25.0,25.0,5.000000000000004,25.0,25.0
44.799999999999855,25.0,25.0,5.200000000000005,25.0,25.0
44.59999999999985,25.0,25.0,5.400000000000005,25.0,25.0
44.39999999999985,25.0,25.0,5.600000000000005,25.0,25.0
44.19999999999985,25.0,25.0,5.800000000000005,25.0,25.0
